id,intention_prob,cross_frame,wait_time,group_number,perc_road,back,ped_spd,accele,vehicle,real_dist,revise_dist,agg_index,sig_agg_index,normal_agg,normal_sig_agg
1_2_22,0.9,5181,4.333333333,2,0,0,1.861691448,0,0,8.834427167,8.834427167,0.302798216,0.163199841,-0.127201784,0.375473202
1_2_23,0.9,5192,3.6,2,0,1,1.58673827,0,0,9.884829245,9.884829245,0.286258192,0.151153827,-0.143741808,0.360091454
1_2_33,0.966666667,7758,4.7,2,1,1,2.404224145,1,1.6674592,2.032617708,1.834016267,0.713797712,0.651556362,0.283797712,0.756795579
1_2_32,0.966666667,7764,3.733333333,2,1,1,2.421093181,1,1.6674592,2.40465,2.206048558,0.650832466,0.569442901,0.220832466,0.707511776
1_2_34,0.95,8134,6.333333333,2,1,1,1.742419546,0,0,2.72568,2.72568,0.575421615,0.466256091,0.145421615,0.641455368
1_2_35,0.85,8137,6.433333333,2,0,1,1.891562386,0,0,1.912524022,1.912524022,0.614632437,0.520108749,0.184632437,0.676674269
1_2_38,0.966666667,10443,1.3,1,1,1,1.336848456,0,0,6.466838222,6.466838222,0.380128774,0.229826393,-0.049871226,0.450293501
1_2_56,0.933333333,11556,3.7,1,0,0,2.346113145,0,0,0.866751799,0.866751799,1.002511587,0.901483148,0.572511587,0.90804932
1_2_43,0.933333333,12256,3.1,7,1,0,1.29482525,1,0,7.08217322,7.08217322,0.350714324,0.20244683,-0.079285676,0.42137225
1_2_39,0.983333333,12274,4.6,7,0,1,1.165783006,0,0,6.856537511,6.856537511,0.375533196,0.22538302,-0.054466804,0.445747622
1_2_41,0.95,12282,3.133333333,7,0,1,1.508997034,0,0,6.412006023,6.412006023,0.37516874,0.225033254,-0.05483126,0.445387485
1_2_44,0.816666667,12296,4.333333333,7,0,0,1.006538347,1,0,6.900612737,6.900612737,0.310885883,0.169365939,-0.119114117,0.383089227
1_2_40,0.916666667,12301,5.5,7,0,1,1.227202868,1,0,6.311971103,6.311971103,0.364862255,0.215301939,-0.065137745,0.43522827
1_2_42,0.9,12306,3.6,7,1,0,1.278644384,0,0,6.925701938,6.925701938,0.341987798,0.194807873,-0.088012202,0.412885679
1_2_45,0.85,12319,4.166666667,7,0,0,1.057799339,0,0,7.151981195,7.151981195,0.317837945,0.174813273,-0.112162055,0.389682212
1_2_50,0.983333333,15790,3.433333333,1,0,0,2.534177183,0,0,0.604197391,0.604197391,1.265060624,0.974859994,0.835060624,0.965783857
1_2_51,1,15894,3.166666667,1,1,1,1.765994611,0,0,1.227602121,1.227602121,0.902549822,0.840777441,0.472549822,0.868778252
1_2_52,0.983333333,16089,1.8,1,0,0,2.556329114,0,0,0.860376087,0.860376087,1.060123827,0.926264881,0.630123827,0.925566185
1_3_62,0.916666667,2915,6.133333333,1,0,1,2.672998822,1,0,6.782316368,6.782316368,0.351983591,0.203576333,-0.078016409,0.42261062
1_3_71,1,9548,3.033333333,1,0,0,2.174968003,0,0,4.039247483,4.039247483,0.497564937,0.362762785,0.067564937,0.567156672
1_3_77,0.983333333,9874,3.433333333,7,1,1,1.705580168,0,0,2.986505775,2.986505775,0.569008929,0.45749015,0.139008929,0.635534787
1_3_72,0.966666667,9898,3.433333333,7,0,1,1.612638024,0,0,2.670822,2.670822,0.591499349,0.488313733,0.161499349,0.656107919
1_3_73,0.9,9902,3.566666667,7,0,0,1.69012412,0,0,1.75101027,1.75101027,0.680139758,0.608442174,0.250139758,0.731168477
1_3_75,0.966666667,9904,5.733333333,7,1,0,1.379564339,0,0,0.715079048,0.715079048,1.143140777,0.951995899,0.713140777,0.945451022
1_3_74,0.983333333,9922,3.733333333,7,1,0,1.615069115,0,0,2.07252745,2.07252745,0.683047043,0.612244977,0.253047043,0.73344816
1_3_76,0.95,9937,3.8,7,1,0,2.090534128,0,0,0.746361437,0.746361437,1.099636151,0.939800232,0.669636151,0.935748676
1_3_70,0.966666667,9966,7.866666667,7,0,0,1.842539047,0,0,0.938336789,0.938336789,0.997923779,0.899219364,0.567923779,0.906505553
1_3_79,0.916666667,11442,3.2,1,0,0,1.170673866,0,0,4.859253713,4.859253713,0.415840373,0.266417009,-0.014159627,0.485844157
1_3_80,1,11660,3.466666667,1,1,0,2.270297845,1,0,3.561370562,3.561370562,0.529896947,0.40478496,0.099896947,0.598588618
1_3_84,0.9,13052,0.6,2,1,0,2.206886317,1,5.5567072,6.3984026,4.192902964,0.439526539,0.29263845,0.009526539,0.509525387
1_3_85,0.916666667,13086,0.966666667,2,1,0,2.573467002,1,4.4435776,5.77438875,4.364004329,0.438802257,0.291814531,0.008802257,0.508801348
1_3_104,0.716666667,13225,1.666666667,1,1,1,2.293140832,1,3.889248,6.419759789,5.33931336,0.310151939,0.16879881,-0.119848061,0.382395648
1_3_86,0.666666667,13777,2.833333333,1,1,1,2.609518389,1,6.6698368,6.742234211,3.564611143,0.353104019,0.20457728,-0.076895981,0.423704585
1_3_90,1,15768,1.833333333,2,0,0,1.42399668,1,3.889248,3.835693604,2.755247175,0.602448208,0.503366236,0.172448208,0.66592084
1_3_89,0.85,15781,2.3,2,0,1,1.631770054,1,3.6120832,3.213408765,2.281469833,0.56274489,0.448952702,0.13274489,0.62971155
1_3_93,0.883333333,16420,2,2,1,1,1.539618135,1,0,5.012960667,5.012960667,0.394527673,0.244143053,-0.035472327,0.464587066
1_3_94,0.8,16445,3.2,2,1,0,1.267056949,1,0,5.866029156,5.866029156,0.330307077,0.184927821,-0.099692923,0.40160749
1_3_97,0.966666667,17661,2.533333333,1,1,0,3.720737954,1,0,0.212244835,0.5,1.36707311,0.985498594,0.93707311,0.976984265
